date,hit
2019-12-24,4
2019-12-25,4
2019-12-26,7
2019-12-27,7
2019-12-28,4
2019-12-29,3
2019-12-30,3
2019-12-31,3
2020-01-01,3
2020-01-02,3
2020-01-03,3
2020-01-04,3
2020-01-05,2
2020-01-06,3
2020-01-07,3
2020-01-08,3
2020-01-09,4
2020-01-10,2
2020-01-11,3
2020-01-12,3
2020-01-13,3
2020-01-14,4
2020-01-15,3
2020-01-16,3
2020-01-17,3
2020-01-18,2
2020-01-19,3
2020-01-20,4
2020-01-21,3
2020-01-22,3
2020-01-23,4
2020-01-24,4
2020-01-25,7
2020-01-26,10
2020-01-27,19
2020-01-28,32
2020-01-29,27
2020-01-30,33
2020-01-31,35
2020-02-01,29
2020-02-02,28
2020-02-03,31
2020-02-04,25
2020-02-05,26
2020-02-06,27
2020-02-07,21
2020-02-08,20
2020-02-09,16
2020-02-10,19
2020-02-11,14
2020-02-12,12
2020-02-13,15
2020-02-14,11
2020-02-15,6
2020-02-16,6
2020-02-17,9
2020-02-18,12
2020-02-19,21
2020-02-20,30
2020-02-21,41
2020-02-22,50
2020-02-23,52
2020-02-24,89
2020-02-25,94
2020-02-26,82
2020-02-27,70
2020-02-28,82
2020-02-29,68
2020-03-01,66
2020-03-02,91
2020-03-03,85
2020-03-04,78
2020-03-05,100
2020-03-06,93
2020-03-07,61
2020-03-08,71
2020-03-09,79
2020-03-10,75
2020-03-11,91
2020-03-12,65
2020-03-13,59
2020-03-14,55
2020-03-15,35
2020-03-16,43
2020-03-17,41
2020-03-18,36
2020-03-19,37
2020-03-20,34
2020-03-21,33
